,state,date,cases_confirmed,total_deaths,new_deaths,total_US_deaths,death_ratio,total_US_rec,approx_state_rec_total
0,California,1/22/20,0,0,0,0,0.0,0,0.0
1,California,1/23/20,0,0,0,0,0.0,0,0.0
2,California,1/24/20,0,0,0,0,0.0,0,0.0
3,California,1/25/20,0,0,0,0,0.0,0,0.0
4,California,1/26/20,2,0,0,0,0.0,0,0.0
5,California,1/27/20,2,0,0,0,0.0,0,0.0
6,California,1/28/20,2,0,0,0,0.0,0,0.0
7,California,1/29/20,2,0,0,0,0.0,0,0.0
8,California,1/30/20,2,0,0,0,0.0,0,0.0
9,California,1/31/20,3,0,0,0,0.0,0,0.0
10,California,2/1/20,3,0,0,0,0.0,0,0.0
11,California,2/2/20,3,0,0,0,0.0,0,0.0
12,California,2/3/20,6,0,0,0,0.0,0,0.0
13,California,2/4/20,6,0,0,0,0.0,0,0.0
14,California,2/5/20,6,0,0,0,0.0,0,0.0
15,California,2/6/20,6,0,0,0,0.0,0,0.0
16,California,2/7/20,6,0,0,0,0.0,0,0.0
17,California,2/8/20,6,0,0,0,0.0,0,0.0
18,California,2/9/20,6,0,0,0,0.0,3,0.0
19,California,2/10/20,6,0,0,0,0.0,3,0.0
20,California,2/11/20,7,0,0,0,0.0,3,0.0
21,California,2/12/20,7,0,0,0,0.0,3,0.0
22,California,2/13/20,8,0,0,0,0.0,3,0.0
23,California,2/14/20,8,0,0,0,0.0,3,0.0
24,California,2/15/20,8,0,0,0,0.0,3,0.0
25,California,2/16/20,8,0,0,0,0.0,3,0.0
26,California,2/17/20,8,0,0,0,0.0,3,0.0
27,California,2/18/20,8,0,0,0,0.0,3,0.0
28,California,2/19/20,8,0,0,0,0.0,3,0.0
29,California,2/20/20,8,0,0,0,0.0,3,0.0
30,California,2/21/20,10,0,0,0,0.0,5,0.0
31,California,2/22/20,10,0,0,0,0.0,5,0.0
32,California,2/23/20,10,0,0,0,0.0,5,0.0
33,California,2/24/20,10,0,0,0,0.0,5,0.0
34,California,2/25/20,10,0,0,0,0.0,6,0.0
35,California,2/26/20,10,0,0,0,0.0,6,0.0
36,California,2/27/20,11,0,0,0,0.0,6,0.0
37,California,2/28/20,11,0,0,0,0.0,7,0.0
38,California,2/29/20,12,0,0,1,0.0,7,0.0
39,California,3/1/20,12,0,0,1,0.0,7,0.0
40,California,3/2/20,21,0,0,6,0.0,7,0.0
41,California,3/3/20,25,0,0,7,0.0,7,0.0
42,California,3/4/20,35,1,1,11,0.09090909090909091,7,1.0
43,California,3/5/20,51,1,0,12,0.08333333333333333,7,1.0
44,California,3/6/20,59,1,0,14,0.07142857142857142,7,0.0
45,California,3/7/20,81,1,0,17,0.058823529411764705,7,0.0
46,California,3/8/20,95,1,0,21,0.047619047619047616,7,0.0
47,California,3/9/20,101,1,0,22,0.045454545454545456,7,0.0
48,California,3/10/20,144,2,1,28,0.07142857142857142,8,1.0
49,California,3/11/20,178,4,2,33,0.12121212121212122,8,1.0
50,California,3/12/20,221,4,0,43,0.09302325581395349,12,1.0
51,California,3/13/20,281,4,0,51,0.0784313725490196,12,1.0
52,California,3/14/20,372,3,-1,58,0.05172413793103448,12,1.0
53,California,3/15/20,373,5,2,70,0.07142857142857142,12,1.0
54,California,3/16/20,557,7,2,97,0.07216494845360824,17,1.0
55,California,3/17/20,700,12,5,133,0.09022556390977443,17,2.0
56,California,3/18/20,831,16,4,192,0.08333333333333333,105,9.0
57,California,3/19/20,1009,18,2,264,0.06818181818181818,121,8.0
58,California,3/20/20,1243,24,6,367,0.0653950953678474,147,10.0
59,California,3/21/20,1412,25,1,466,0.0536480686695279,176,9.0
60,California,3/22/20,1651,30,5,576,0.052083333333333336,178,9.0
61,California,3/23/20,2113,39,9,763,0.05111402359108781,178,9.0
62,California,3/24/20,2542,50,11,1004,0.049800796812749,348,17.0
63,California,3/25/20,3009,65,15,1330,0.04887218045112782,361,18.0
64,California,3/26/20,3910,81,16,1742,0.04649827784156142,681,32.0
65,California,3/27/20,4679,94,13,2263,0.0415377817057004,869,36.0
66,California,3/28/20,5110,110,16,2898,0.03795721187025535,1072,41.0
67,California,3/29/20,5863,124,14,3490,0.03553008595988539,2665,95.0
68,California,3/30/20,7155,146,22,4187,0.03486983520420349,5644,197.0
69,California,3/31/20,8233,173,27,5278,0.03277756726032588,7024,230.0
70,California,4/1/20,9415,199,26,6539,0.030432787888056277,8474,258.0
71,California,4/2/20,10796,238,39,8035,0.029620410703173616,9001,267.0
72,California,4/3/20,12023,265,27,9442,0.02806608769328532,9707,272.0
